Date,Close
01/01/2023 23:58:00,18.6913
02/01/2023 23:58:00,18.7417
03/01/2023 23:58:00,18.78372
04/01/2023 23:58:00,18.7469
05/01/2023 23:58:00,18.7717
06/01/2023 23:58:00,18.7544
07/01/2023 23:58:00,18.7544
08/01/2023 23:58:00,18.77595
09/01/2023 23:58:00,18.7669
10/01/2023 23:58:00,18.7849
11/01/2023 23:58:00,18.78023
12/01/2023 23:58:00,18.7808
13/01/2023 23:58:00,18.8015
14/01/2023 23:58:00,18.8035
15/01/2023 23:58:00,18.7947
16/01/2023 23:58:00,18.78783
17/01/2023 23:58:00,18.7737
18/01/2023 23:58:00,18.78305
19/01/2023 23:58:00,18.797
20/01/2023 23:58:00,18.7579
21/01/2023 23:58:00,18.7579
22/01/2023 23:58:00,18.80817
23/01/2023 23:58:00,18.7979
24/01/2023 23:58:00,18.81008
25/01/2023 23:58:00,18.8094
26/01/2023 23:58:00,18.81359
27/01/2023 23:58:00,18.811
28/01/2023 23:58:00,18.811
29/01/2023 23:58:00,18.8126
30/01/2023 23:58:00,18.813
31/01/2023 23:58:00,18.81213
01/02/2023 23:58:00,18.8152
02/02/2023 23:58:00,18.81714
03/02/2023 23:58:00,18.8199
04/02/2023 23:58:00,18.8236
05/02/2023 23:58:00,18.83341
06/02/2023 23:58:00,18.83566
07/02/2023 23:58:00,18.8366
08/02/2023 23:58:00,18.8375
09/02/2023 23:58:00,18.8347
10/02/2023 23:58:00,18.8153
11/02/2023 23:58:00,18.8242
12/02/2023 23:58:00,18.8351
13/02/2023 23:58:00,18.84934
14/02/2023 23:58:00,18.847
15/02/2023 23:58:00,18.85653
16/02/2023 23:58:00,18.86375
17/02/2023 23:58:00,18.8289
18/02/2023 23:58:00,18.8297
19/02/2023 23:58:00,18.86234
20/02/2023 23:58:00,18.8671
21/02/2023 23:58:00,18.8682
22/02/2023 23:58:00,18.88019
23/02/2023 23:58:00,18.8733
24/02/2023 23:58:00,18.8744
25/02/2023 23:58:00,18.8744
26/02/2023 23:58:00,18.88764
27/02/2023 23:58:00,18.89062
28/02/2023 23:58:00,18.8873
01/03/2023 23:58:00,18.8885
02/03/2023 23:58:00,18.8907
03/03/2023 23:58:00,18.8159
04/03/2023 23:58:00,18.8159
05/03/2023 23:58:00,18.90982
06/03/2023 23:58:00,18.9058
07/03/2023 23:58:00,18.9238
08/03/2023 23:58:00,18.9488
09/03/2023 23:58:00,18.9569
10/03/2023 23:58:00,18.9575
11/03/2023 23:58:00,18.9575
12/03/2023 23:58:00,18.97123
13/03/2023 23:58:00,18.976
14/03/2023 23:58:00,18.99014
15/03/2023 23:58:00,18.99219
16/03/2023 23:58:00,19.0073
17/03/2023 23:58:00,19.0136
18/03/2023 23:58:00,19.0209
19/03/2023 23:58:00,19.01541
20/03/2023 23:58:00,19.0185
21/03/2023 23:58:00,19.0382
22/03/2023 23:58:00,19.04509
23/03/2023 23:58:00,19.0634
24/03/2023 23:58:00,19.034
25/03/2023 23:58:00,19.034
26/03/2023 23:58:00,19.0852
27/03/2023 23:58:00,19.09604
28/03/2023 23:58:00,19.1255
29/03/2023 23:58:00,19.1524
30/03/2023 23:58:00,19.1807
31/03/2023 23:58:00,19.1782
01/04/2023 23:58:00,19.1782
02/04/2023 23:58:00,19.19992
03/04/2023 23:58:00,19.2101
04/04/2023 23:58:00,19.22272
05/04/2023 23:58:00,19.2554
06/04/2023 23:58:00,19.2569
07/04/2023 23:58:00,19.2506
08/04/2023 23:58:00,19.2485
09/04/2023 23:58:00,19.2595
10/04/2023 23:58:00,19.2704
11/04/2023 23:58:00,19.29798
12/04/2023 23:58:00,19.3208
13/04/2023 23:58:00,19.3399
